pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,0,0,0,0,2,2,10,2,,,,,35.00276625000015,35.98914591599987,35.98914591599987,35.98914591599987,35.98914591599987,35.99871608300009,36.99437395799987,36.99437395799987,c,1,0.20607891699955871,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,2,3,11,3,,,,,37.21122041600029,38.20500941599994,38.20500941599994,38.20500941599994,38.20500941599994,38.20500941599994,39.194488166000156,39.194488166000156,z,1,0.302265375999923,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,3,0,12,0,,,,,39.51148737499989,40.50564058300006,40.50564058300006,40.50564058300006,40.50564058300006,40.50564058300006,41.50259433300016,41.50259433300016,x,1,0.29211958399992,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,3,1,13,1,,,,,41.80285558300011,42.78949654100006,42.78949654100006,42.78949654100006,42.78949654100006,42.79840537500013,43.79471162500022,43.79471162500022,v,1,0.35718520899990835,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,3,2,14,2,,,,,44.16848608300006,45.15631129100029,45.15631129100029,45.15631129100029,45.15631129100029,45.165855457999896,46.16146029099991,46.16146029099991,c,1,0.2960471670003244,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,3,3,15,3,,,,,46.46869125000012,47.456522833000236,47.456522833000236,47.456522833000236,47.456522833000236,47.46548845799998,48.45330883299994,48.45330883299994,z,1,0.31833870799982833,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,4,0,16,0,,,,,48.78667612500021,49.773105374999886,49.773105374999886,49.773105374999886,49.773105374999886,49.781965958,50.77828283300005,50.77828283300005,x,1,0.2957510840001305,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,4,1,17,1,,,,,51.08642741599988,52.073887041000035,52.073887041000035,52.073887041000035,52.073887041000035,52.08296687500024,53.078412583000045,53.078412583000045,v,1,0.2737102920000325,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,4,2,18,2,,,,,53.360894416000065,54.35510433299987,54.35510433299987,54.35510433299987,54.35510433299987,54.35510433299987,55.35344291599995,55.35344291599995,c,1,0.31950129200004085,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,4,3,19,3,,,,,55.686593666000135,56.67952762499999,56.67952762499999,56.67952762499999,56.67952762499999,56.6892908750001,57.67866200000026,57.67866200000026,z,1,0.3044689579996884,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
